"","X","Name","ID","group","num_detections_mean","num23_mean","area_mean","FOSmm2"
"199",199,"PT",NA,"IBE2",154.666666666667,0,26073,0
"200",200,"PT",NA,"ENT",137.333333333333,0,21804.6,0
"201",201,"PT",NA,"T40",151.333333333333,0,24921.2,0
"202",202,"PT",NA,"A1",204.333333333333,0.333333333333333,32125.6666666667,10.3759195658715
"203",203,"PT",NA,"IBE2",159,0,29427.1,0
"204",204,"PT",NA,"IBE1",238.333333333333,1.66666666666667,40605.3,41.0455449575959
"205",205,"PT",NA,"ENT",137,0,22770.2,0
"206",206,"PT",NA,"A2",241.333333333333,2.66666666666667,39632.9333333333,67.2841105208801
"207",207,"PT",NA,"A1",317.333333333333,0.666666666666667,51688.8,12.8977005979374
"208",208,"PT",NA,"A1",123,6.5,18380.4,353.637570455485
"209",209,"PT",NA,"ENT",201,0,32477.2,0
"210",210,"PT",NA,"IBE1",293.333333333333,15.3333333333333,42076.9333333333,364.411855109846
"211",211,"PT",NA,"IBE1",41.5,0.5,5472.15,91.3717642973968
"212",212,"PT",NA,"T40",95.3333333333333,0,14824.1333333333,0
"213",213,"PT",NA,"A2",114,0,20866.2666666667,0
"214",214,"PT",NA,"A1",186.333333333333,0,30246.8333333333,0
"215",215,"PT",NA,"A2",106,0.333333333333333,16831.8666666667,19.8037056694048
"216",216,"PT",NA,"T40",93,7.5,9063.35,827.50859229755
"217",217,"PT",NA,"A1",148.5,0,19442.85,0
"218",218,"PT",NA,"A1",84.6666666666667,0,12871.6,0
"219",219,"PT",NA,"IBE1",144.333333333333,0.666666666666667,21093.9666666667,31.6046136414994
"220",220,"PT",NA,"ENT",208.5,0,27928.1,0
"221",221,"PT",NA,"IBE1",148.666666666667,0.333333333333333,24336.0666666667,13.6970915595782
"222",222,"PT",NA,"ENT",171,0,25586.45,0
"223",223,"VMH",NA,"T40",538.5,2.25,306124.025,7.34996215994481
"224",224,"VMH",NA,"IBE1",534.5,3,273914.8,10.9523107185154
"225",225,"VMH",NA,"ENT",586.2,0.8,303658.24,2.63454072578436
"226",226,"VMH",NA,"IBE2",607.333333333333,2.66666666666667,302606.333333333,8.81232932996557
"227",227,"VMH",NA,"IBE2",544,1.66666666666667,304279.7,5.47741655676232
"228",228,"VMH",NA,"ENT",541.333333333333,3.66666666666667,305375.433333333,12.0070780633631
"229",229,"VMH",NA,"T40",623.333333333333,3,306184.066666667,9.79802780941572
"230",230,"VMH",NA,"A1",536.666666666667,2.66666666666667,302386.3,8.81874167800152
"231",231,"VMH",NA,"IBE2",473,0,304939.5,0
"232",232,"VMH",NA,"IBE1",586.333333333333,2,306296.6,6.52961867679889
"233",233,"VMH",NA,"ENT",590.666666666667,1.66666666666667,302659.866666667,5.50673164903705
"234",234,"VMH",NA,"A2",429,2.33333333333333,270050.966666667,8.64034431031473
"235",235,"VMH",NA,"A1",595.333333333333,1,305516.766666667,3.27314278332569
"236",236,"VMH",NA,"A1",517.666666666667,1.66666666666667,305608.233333333,5.45360525299985
"237",237,"VMH",NA,"ENT",688,2,304876.8,6.56002686987006
"238",238,"VMH",NA,"IBE1",596.333333333333,2.33333333333333,304150.533333333,7.67163978889401
"239",239,"VMH",NA,"IBE1",569.666666666667,0.333333333333333,306627.566666667,1.08709512636774
"240",240,"VMH",NA,"T40",669,3,292384.233333333,10.2604711813576
"241",241,"VMH",NA,"A2",531.666666666667,0,306226.1,0
"242",242,"VMH",NA,"A1",536,1,300852.633333333,3.32388647864032
"243",243,"VMH",NA,"A2",695.75,1,300021.1,3.33309890537699
"244",244,"VMH",NA,"T40",696,3.66666666666667,304394.166666667,12.0457849334607
"245",245,"VMH",NA,"A1",504,3.33333333333333,282473.133333333,11.8005322984109
"246",246,"VMH",NA,"A1",574.333333333333,1.66666666666667,308288.333333333,5.40619441756366
"247",247,"VMH",NA,"IBE1",582,1.66666666666667,297626.6,5.59985789800599
"248",248,"VMH",NA,"ENT",587,3.33333333333333,308333.933333333,10.8107897735983
"249",249,"VMH",NA,"IBE1",535.666666666667,0,296642.266666667,0
"250",250,"VMH",NA,"ENT",595,0,305653.3,0
"251",251,"CP","H028","T40",606,38,146279.925,259.775905682205
"252",252,"CP","H038","T40",1140,97.6428571428571,299039.178571429,326.521954779694
"253",253,"CP","H069","T40",759.7,161.4,143041.27,1128.34568652809
"254",254,"CP","H074","T40",1113.2,158.6,223838.42,708.546816940541
"255",255,"CP","H211","IBE2",501,0,107332.833333333,0
"256",256,"CP","H216","A1",1903.66666666667,90,404810.2,222.326413711907
"257",257,"CP","H241","ENT",865.666666666667,35,198978.933333333,175.898018014638
"258",258,"CP","H243","ENT",877.166666666667,0,210573.75,0
"259",259,"CP","H245","IBE1",688.666666666667,6.33333333333333,156591.4,40.4449627076157
"260",260,"CP","H250","A2",622.222222222222,103.222222222222,112035.511111111,921.334862478126
"261",261,"CP","H263","A1",932,141,177643.86,793.722901540194
"262",262,"CP","H264","IBE1",1592,106,367806.1,288.195329006235
"263",263,"CP","H268","IBE1",861,11.6666666666667,194391.833333333,60.0162386794373
"264",264,"CP","H273","A1",674.666666666667,97.3333333333333,126642.966666667,768.564855161056
"265",265,"CP","H274","IBE2",779.333333333333,1.66666666666667,150919.833333333,11.0433905859513
"266",266,"CP","H275","IBE2",810.666666666667,0,340739.633333333,0
"267",267,"CP","H276","A1",939.5,321,186537.05,1720.83776386514
"268",268,"CP","H278","IBE1",881.25,0,216710.675,0
"269",269,"CP","H298","A1",700.25,281.25,156249.6,1800.0046080118
"270",270,"CP","H301","IBE2",618.333333333333,0.666666666666667,221208.2,3.01375205198843
"271",271,"CP","H307","ENT",677,0,187497.4,0
"272",272,"CP","SH19","SHT40",470.666666666667,145,102271.1,1417.80033655647
"273",273,"CP","SH6","SHT40",766.5,133,192223.2,691.903994939216
