Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,ROI: 1.00 µm per pixel: OD Sum: Mean,ROI: 1.00 µm per pixel: OD Sum: Std.dev.,ROI: 1.00 µm per pixel: OD Sum: Min,ROI: 1.00 µm per pixel: OD Sum: Max
H254-39.vsi - 20x,4b1f0417-7130-4e76-acb0-c9dc75e4f6b8,FOS,FOS,DMH,Polygon,9260.4,8450.9,0.3895,,,
H254-39.vsi - 20x,14631f93-cc47-499a-ac75-cde9c8a416a6,FOS,FOS,DMH,Polygon,8955.3,8459.2,0.3755,,,
H254-39.vsi - 20x,c20981b9-e608-4421-b9e0-dd2e82040420,FOS,FOS,DMH,Polygon,9102.1,8460.8,0.3497,,,
H254-39.vsi - 20x,f00dbe16-c52c-4b63-bf8d-767d0d7c3e27,FOS,FOS,DMH,Polygon,9636.9,8469.6,0.3472,,,
H254-39.vsi - 20x,97138806-390a-4f6f-8137-7f895b438c2d,FOS,FOS,DMH,Polygon,9869.4,8475.2,0.4326,,,
H254-39.vsi - 20x,447ab271-7a58-47a7-b1d3-38f6357175a7,FOS,FOS,DMH,Polygon,9127.5,8477.6,0.3835,,,
H254-39.vsi - 20x,c6278cb2-f508-42c6-9d72-4ae1a925f9f2,FOS,FOS,DMH,Polygon,9599.8,8483.1,0.3413,,,
H254-39.vsi - 20x,a3de5e76-6706-4f94-98fb-7cbdcc6523f6,FOS,FOS,DMH,Polygon,9228,8500.3,0.3541,,,
H254-39.vsi - 20x,b84c0701-73c9-4192-a68b-ba80d2b7c5c4,FOS,FOS,DMH,Polygon,9395.3,8503.9,0.3388,,,
H254-39.vsi - 20x,5e648fc8-eb44-498a-b881-2291f52e86b8,FOS,FOS,DMH,Polygon,9234.9,8523.7,0.3432,,,
H254-39.vsi - 20x,55dd95b9-404c-46f4-8aa9-1aa48c701cca,FOS,FOS,DMH,Polygon,9597.5,8533.5,0.3442,,,
H254-39.vsi - 20x,13412a3e-e350-4adb-87ba-1a56633f92f4,FOS,FOS,DMH,Polygon,9355.9,8535,0.3504,,,
H254-39.vsi - 20x,1223e3d4-3efb-4606-a768-787779507492,FOS,FOS,DMH,Polygon,9223.6,8537.9,0.3327,,,
H254-39.vsi - 20x,59646ff4-d908-4f2e-9f81-2a6f914795b6,FOS,FOS,DMH,Polygon,9352.5,8540.3,0.3758,,,
H254-39.vsi - 20x,bcecc15a-f270-4c89-98b5-54d1293ba5f8,FOS,FOS,DMH,Polygon,8946.5,8541.9,0.3607,,,
H254-39.vsi - 20x,9130918f-0083-43c1-9765-03836359ef01,FOS,FOS,DMH,Polygon,8980.5,8551.5,0.3574,,,
H254-39.vsi - 20x,1ae41d3f-bfa1-43d7-a635-ccf18855388b,FOS,FOS,DMH,Polygon,8880.4,8551.8,0.3354,,,
H254-39.vsi - 20x,6148e1f9-5acb-434b-a12e-ca114aabb391,FOS,FOS,DMH,Polygon,9354.6,8553.7,0.366,,,
H254-39.vsi - 20x,30fa0852-2a55-4773-95f1-7d15d80a5cec,FOS,FOS,DMH,Polygon,9334.9,8562.8,0.4049,,,
H254-39.vsi - 20x,6bf6f2a6-acce-4bd9-978d-bf14be6bc430,FOS,FOS,DMH,Polygon,9016.4,8565.9,0.342,,,
H254-39.vsi - 20x,03186d85-8a03-45ee-9f9e-d9c839dcbeca,FOS,FOS,DMH,Polygon,9268.8,8593.6,0.3286,,,
H254-39.vsi - 20x,93bb8ad7-25df-4cdd-b5d8-a55f6a205fd3,FOS,FOS,DMH,Polygon,8878.6,8605.7,0.3639,,,
H254-39.vsi - 20x,046ac7ca-f203-4d9b-9dfe-ac057c5f11ba,FOS,FOS,DMH,Polygon,9597.1,8607.2,0.3582,,,
H254-39.vsi - 20x,7c88ca0b-88d1-481c-b0f6-62bb08cbd5f4,FOS,FOS,DMH,Polygon,9312.1,8621.1,0.3715,,,
H254-39.vsi - 20x,89767d36-096a-4aa6-91f4-e257764419a2,FOS,FOS,DMH,Polygon,9377.5,8631,0.3326,,,
H254-39.vsi - 20x,abc3d17b-dcbd-4301-9e1a-5d62e558a13d,FOS,FOS,DMH,Polygon,9304.2,8677,0.3486,,,
H254-39.vsi - 20x,1284b88e-8c4c-4014-9791-30c75b939a50,FOS,FOS,DMH,Polygon,9414.4,8722.6,0.3458,,,
H254-39.vsi - 20x,48e7dd86-1f7e-49b5-b9c4-33b33fd138a3,FOS,FOS,DMH,Polygon,9409.1,8847.8,0.369,,,
H254-39.vsi - 20x,d89e4190-16a0-4137-9e0a-cb888f97b1ad,FOS,FOS,DMH,Polygon,9375.2,8858,0.3489,,,
H254-39.vsi - 20x,1335ebe7-9c6b-49bd-85ba-55e968a10951,FOS,FOS,PH,Polygon,9451.2,7322.4,0.3551,,,
H254-39.vsi - 20x,2897f7b9-9965-4d43-9a83-0b04131cc3d0,FOS,FOS,PH,Polygon,9445.6,7336.2,0.3894,,,
H254-39.vsi - 20x,7ae04433-387e-4d74-a1df-7847f96b7966,FOS,FOS,PH,Polygon,8984.9,7420,0.3383,,,
H254-39.vsi - 20x,f43550f7-e6ee-4063-bf3e-ef9c38a1d059,FOS,FOS,PH,Polygon,9455.3,7455.8,0.4135,,,
H254-39.vsi - 20x,f019bc25-ce36-437e-96fc-02e9f6c0a951,FOS,FOS,PH,Polygon,9019.3,7503,0.3263,,,
H254-39.vsi - 20x,1045d5be-1ba4-42a7-ad03-60eb4fa41398,FOS,FOS,PH,Polygon,8981.5,7533.7,0.3786,,,
H254-39.vsi - 20x,fbeeaf79-3e87-40c7-8f46-5e5f0fe7b48c,FOS,FOS,PH,Polygon,8834.2,7610.5,0.3519,,,
H254-39.vsi - 20x,0547fa82-c4b7-4910-9cbc-9db0a06838ca,FOS,FOS,PH,Polygon,8844.5,7627.3,0.349,,,
H254-39.vsi - 20x,c2c98bfd-ba59-4764-a93b-de32588736d3,FOS,FOS,PH,Polygon,8939.2,7649.4,0.3694,,,
H254-39.vsi - 20x,339c953e-e001-4103-a762-0fb1c8129010,FOS,FOS,PH,Polygon,9854,7662.9,0.3668,,,
H254-39.vsi - 20x,c7d453ad-d4f2-408f-9a65-d0112a6ce63e,FOS,FOS,PH,Polygon,9510.1,7679.4,0.4626,,,
H254-39.vsi - 20x,6798b098-8720-4451-9b34-f797c56719cb,FOS,FOS,PH,Polygon,9118.5,7698.2,0.4038,,,
H254-39.vsi - 20x,9e71fdb7-3d2e-448c-b6f7-8f34de0bc7c3,FOS,FOS,PH,Polygon,9074.8,7698.5,0.3833,,,
H254-39.vsi - 20x,26f1bd90-4e1d-4ce3-8f40-ff59d10b81f0,FOS,FOS,PH,Polygon,8901.5,7727.2,0.3335,,,
H254-39.vsi - 20x,ccf2ad3c-7166-4ded-a8a5-c3089513cb5f,FOS,FOS,PH,Polygon,8872.1,7739.4,0.3975,,,
H254-39.vsi - 20x,2efd8fe3-d1e9-4f00-9ec2-a3dd72a0e1cf,FOS,FOS,PH,Polygon,9780.1,7739.8,0.3706,,,
H254-39.vsi - 20x,908d4087-d431-4d92-99f8-acda1ef3927f,FOS,FOS,PH,Polygon,8897,7743.6,0.3525,,,
H254-39.vsi - 20x,a5a8671d-773d-4632-aad6-97217274be3d,FOS,FOS,PH,Polygon,9534.9,7759.4,0.3278,,,
H254-39.vsi - 20x,317448b1-bb54-4c23-9b66-6edc0d02f18a,FOS,FOS,PH,Polygon,9709.6,7780.4,0.35,,,
H254-39.vsi - 20x,eef74cf3-dbcf-4e94-919e-5ae2e928a0aa,FOS,FOS,PH,Polygon,9123.9,7788.4,0.4387,,,
H254-39.vsi - 20x,12391b76-00d5-427f-8fa6-fcbd3efce759,FOS,FOS,PH,Polygon,8943.8,7791,0.3367,,,
H254-39.vsi - 20x,bc9d171f-7c5c-403b-9fba-ce978a9904bb,FOS,FOS,PH,Polygon,9808.4,7891.4,0.351,,,
H254-39.vsi - 20x,9e9bdec4-fd62-482e-8360-471bffb92f5e,FOS,FOS,PH,Polygon,8957,7892.5,0.3459,,,
H254-39.vsi - 20x,93fabb00-2ba2-4fe8-a7a9-41e7d34aac51,FOS,FOS,PH,Polygon,9842,7959.6,0.3507,,,
H254-39.vsi - 20x,8b725133-7d48-4fe7-9fea-28dac2a2c261,FOS,FOS,PH,Polygon,8840.4,8065.8,0.3786,,,
H254-39.vsi - 20x,81f18473-dfe9-49d6-bdf7-8c8eeed68a5b,FOS,FOS,ME,Polygon,2751.2,9062.3,0.3906,,,
H254-39.vsi - 20x,643a5134-4554-4eaf-a58a-9e74fe8550c3,FOS,FOS,ME,Polygon,2695.4,9131.5,0.3399,,,
H254-39.vsi - 20x,ddb3493a-ad25-4ecf-a011-3f71263f990f,FOS,FOS,ME,Polygon,2481.4,9213.9,0.3552,,,
H254-39.vsi - 20x,0c0a8f44-f243-4f09-af13-8a2e8b85d1f6,FOS,FOS,BTAN,Polygon,14957.5,8273.9,0.3791,,,
H254-39.vsi - 20x,31408169-7162-41cc-842e-06bf529df949,FOS,FOS,ARC,Polygon,15377.6,7977.4,0.3358,,,
H254-39.vsi - 20x,511e295f-eb45-4d20-8897-95b3f2be1f86,FOS,FOS,ARC,Polygon,15060.7,8016.7,0.3931,,,
H254-39.vsi - 20x,dd119dd7-3327-42d8-9592-39f76036e1da,FOS,FOS,ARC,Polygon,14854.8,8216.2,0.3395,,,
H254-39.vsi - 20x,b9ae1b9e-bab3-4b0e-941d-47eaa13ffe39,FOS,FOS,VMH,Polygon,14977.6,7722.3,0.3947,,,
H254-39.vsi - 20x,69933c3f-a480-4b33-85e8-0b69a308864a,FOS,FOS,VMH,Polygon,14516.9,7932.1,0.3285,,,
H254-39.vsi - 20x,ca8e71e9-2985-4ce1-b277-d855c905666e,FOS,FOS,VMH,Polygon,14679.4,8020.5,0.4079,,,
H254-39.vsi - 20x,fa6dad7f-83d5-404b-b7e2-3f27df5f03a1,FOS,FOS,DMH,Polygon,15429.6,7253.4,0.344,,,
H254-39.vsi - 20x,c99d61d9-b839-421e-bcfa-db8ea4241260,FOS,FOS,DMH,Polygon,15249.3,7350,0.3262,,,
H254-39.vsi - 20x,b4c4b8b8-d8df-47f1-aa5d-3d97e0a99a00,FOS,FOS,DMH,Polygon,15460,7414.2,0.3693,,,
H254-39.vsi - 20x,f4b15535-1e14-4a1b-8c02-74deaba27f84,FOS,FOS,DMH,Polygon,15440.1,7421,0.3693,,,
H254-39.vsi - 20x,abd82bd6-4cd3-4eca-a9c2-133ecf866bad,FOS,FOS,DMH,Polygon,15413.9,7430,0.333,,,
H254-39.vsi - 20x,637f85a5-52e0-4647-86e8-b2473ff28bf7,FOS,FOS,DMH,Polygon,14778.9,7441.5,0.354,,,
