"","X","Name","ID","group","num_det_mean","pos_th_mean","area_mean","AreaFOSmm2"
"298",298,"VMH","H263","A1",772.666666666667,540.5112,253985,2128.12252692088
"299",299,"VMH","H264","IBE1",1130,285.46475,291540.75,979.159002643713
"300",300,"VMH","H268","IBE1",903,275.5203,285812.3,963.990353109366
"301",301,"VMH","H273","A2",660.333333333333,191.9963,257481.3,745.670850659834
"302",302,"VMH","H275","IBE2",1039.66666666667,835.023233333333,310707.833333333,2687.48690490048
"303",303,"VMH","H276","A1",674,1139.941925,281800.275,4045.21225183332
"304",304,"VMH","H278","IBE1",946.25,167.212825,290260.15,576.07916553478
"305",305,"VMH","H298","A1",713.75,297.0462,246333.975,1205.86776550007
"306",306,"VMH","H300","A2",1027,52.2548,269241.9,194.081233270156
"307",307,"VMH","H301","IBE2",763.25,396.055,237262.458333333,1669.26956241673
"308",308,"VMH","H319","ENT",994,131.8822,310841.225,424.275126312477
"309",309,"VMH","H327","IBE2",761.8,619.4951,261186.86,2371.84634785992
