Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num 3+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm
Image_22_01.vsi - 40x_01 #1,2b18b6d1-e16d-4af4-9350-7967ae045a14,AVPE_x05,,Image,Polygon,1386.8,1440.8,834,59,24,24,727,12.83,21.46,3,2,5,356705.2,2744.8
Image_22_01.vsi - 40x_01 #1,5563f79a-0e5c-449b-8ca9-b2c42e96a02b,OVLT,,Image,Polygon,1582.7,1863.9,505,11,1,2,491,2.772,3.762,2,1,3,83025.8,1296.9
Image_22_01.vsi - 40x_01 #1,9d9c6022-790d-431d-bce8-a09fc485bc8f,MnPO_x05,,Image,Polygon,1700.6,786.99,302,15,5,10,272,9.934,18.21,2,2,4,135109.2,1759.5
Image_22_01.vsi - 40x_02 #3,ae9333b3-a5c4-4020-8202-8941c2a0d408,MnPO_x05,,Image,Polygon,1453.6,299.9,481,31,10,7,433,9.979,14.97,2,1,3,167018.2,1659.3
Image_22_01.vsi - 40x_02 #3,daec21b0-b5e7-47a8-a008-8ce42e589f1f,AVPE_x05,,Image,Polygon,1098.5,1047.2,785,46,16,12,711,9.427,14.52,2,1,3,347513.6,2566.1
Image_22_01.vsi - 40x_02 #3,7b4787fb-b2e7-4707-84a5-5a923a6fc7d2,LPO,,Image,Rectangle,380.02,396.82,933,8,2,0,923,1.072,1.286,2,1,3,603208.4,3107.4
Image_22_01.vsi - 40x_03 #5,cc2712ce-0035-4804-9aff-1c13e82f4ccb,AVPE_x05,,Image,Polygon,632.44,758.27,868,51,17,9,791,8.871,12.9,2,1,3,355016.9,3057.3
Image_23.vsi - 40x_01 #1,bde5c577-a5f2-4238-a79f-6515e189d087,OVLT,,Image,Polygon,1406.9,1956.5,185,0,0,0,185,0,0,0,0,0,45710.8,766.07
Image_23.vsi - 40x_01 #1,1cf94332-db4c-4a17-8af1-9ac91083e328,AVPE,,Image,Polygon,1422.1,1662.3,1356,17,6,13,1320,2.655,5.015,2,2,4,704442.9,3780.4
Image_23.vsi - 40x_01 #1,8d99c08c-73a1-48e4-af78-1637579f0f6d,MnPO,,Image,Polygon,1527.5,701.65,591,6,0,0,585,1.015,1.015,2,1,3,306427.1,2494.2
Image_23.vsi - 40x_01 #1,5b7d35d9-c120-4770-b38b-171bf1caedf1,LPO,,Image,Rectangle,2432.2,703.86,918,12,4,0,902,1.743,2.179,2,1,3,606440.5,3124.5
Image_23.vsi - 40x_02 #3,aa4acee0-572b-4b94-86e7-a58fcc5bba05,OVLT,,Image,Polygon,1483,2322.9,501,1,0,0,500,0.1996,0.1996,1,1,2,120742.9,1307.1
Image_23.vsi - 40x_02 #3,ae05511c-fc02-4824-a25f-d178f270d1f3,AVPE,,Image,Polygon,1550.2,1688,1581,44,16,9,1512,4.364,6.515,2,1,3,701854.5,3361.6
Image_23.vsi - 40x_02 #3,3ff2acf8-2911-4629-8cbf-89d470fbf109,MnPO,,Image,Polygon,1515.8,745.29,684,15,3,1,665,2.778,3.509,2,1,3,319829.6,2686.5
Image_23.vsi - 40x_03 #5,10b3751e-26b7-4fa1-86fe-b31373099374,AVPE,,Image,Polygon,1415.6,1811.6,1595,43,12,7,1533,3.887,5.517,2,1,3,698368,4348.7
Image_23.vsi - 40x_03 #5,a44517f0-1e99-4743-87e9-bbbd70db6ea8,MnPO,,Image,Polygon,1486.6,886.72,803,18,2,4,779,2.989,4.234,2,1,3,291814.3,2976.3
Image_23.vsi - 40x_03 #5,629750a4-5916-4032-a248-ca25edc76389,OVLT,,Image,Polygon,1372.2,2185.4,737,0,0,0,737,0,0,0,0,0,141700,1654
Image_23.vsi - 40x_03 #5,22e5b5b1-1a40-4a04-ab6a-dcbd71f34e55,LPO,,Image,Rectangle,582.04,789.5,1068,11,3,4,1050,1.685,2.715,2,1,3,601641.1,3103.1
Image_24.vsi - 40x_02 #3,fc373c42-10cb-47f0-81e9-fac890b9670c,OVLT,,Image,Polygon,1042.7,2037,385,0,0,,385,0,0,0,0,0,95311.8,1244.1
Image_24.vsi - 40x_02 #3,ae3ade58-fa89-4f10-b014-31acc016ec70,AVPE,,Image,Polygon,997.97,1715.1,929,1,1,,927,0.2153,0.3229,1,1,2,714904.7,3965.4
Image_24.vsi - 40x_02 #3,47fdf0e0-7fe8-43d3-85da-d4d57887afe8,MnPO,,Image,Polygon,1144.4,801.17,315,0,0,,315,0,0,0,0,0,303587.1,2767.5
Image_24.vsi - 40x_02 #3,bc0459b8-a207-40bf-9729-fbdd9fda11a3,LPO,,Image,Rectangle,352.58,840.09,504,4,2,,498,1.19,1.587,2,1,3,607157.4,3132.4
Image_24.vsi - 40x_03 #5,2730be27-97fc-4f67-999c-9b7b08e5286b,OVLT,,Image,Polygon,1380.1,2240.8,251,0,0,0,251,0,0,0,0,0,48548.7,887.43
Image_24.vsi - 40x_03 #5,75d97135-b5c2-48f0-be8f-612244f58bc7,AVPE,,Image,Geometry,1411.5,1816.1,1515,12,1,0,1502,0.8581,0.9241,1,1,2,709530.1,4682.2
Image_24.vsi - 40x_03 #5,40f4c691-ac0f-431d-901a-a9dbd112e47c,MnPO,,Image,Polygon,1405.1,938.44,696,4,2,0,690,0.8621,1.149,1,1,2,324196.3,2582.5
Image_24.vsi - 40x_03 #5,e5673de0-d66a-4e65-897f-5714cf959e5c,LPO,,Image,Rectangle,449.75,1079.6,833,10,1,3,819,1.681,2.521,2,1,3,606784.3,3119
Image_24.vsi - 40x_04 #7,178557bb-b99a-48a6-b1d8-7b09429cf5f6,OVLT,,Image,Polygon,1604,2414.7,640,1,1,0,638,0.3125,0.4688,1,1,2,112351.2,1386.6
Image_24.vsi - 40x_04 #7,1f64399f-758d-446c-9ce9-8d8e9e4fb288,MnPO,,Image,Polygon,1571.2,1070.5,758,11,0,0,747,1.451,1.451,2,1,3,282521.2,2558.6
Image_24.vsi - 40x_04 #7,3e37a596-fc69-46db-b560-074fde048ac4,AVPE,,Image,Polygon,1543.6,1901.1,1676,34,2,2,1638,2.267,2.625,2,1,3,705765.1,4322.8
Image_24.vsi - 40x_04 #7,80b406ac-4f15-457d-953b-588f101e8cf2,LPO,,Image,Rectangle,430.58,1295.7,1024,10,2,3,1009,1.465,2.246,2,1,3,651013.7,3227.4
Image_25_01.vsi - 40x_01 #1,601983af-ac13-47e8-9b98-c8b4080d257c,OVLT,,Image,Polygon,1251.4,1542.3,282,1,0,0,281,0.3546,0.3546,1,1,2,66565.7,959.66
Image_25_01.vsi - 40x_01 #1,6e5c37e4-b314-40ff-9a58-c6e9a79462ba,AVPE,,Image,Polygon,1340.3,1195.9,1614,68,22,8,1516,6.072,8.426,2,1,3,677536.1,3497.8
Image_25_01.vsi - 40x_01 #1,4043e341-382c-4db4-b8db-b20b580a3cc8,LPO,,Image,Rectangle,2238,539.43,1142,19,7,3,1113,2.539,3.678,2,1,3,620358.2,3151.2
Image_25_01.vsi - 40x_02 #3,7e7f742a-9aed-4158-9722-71ad5f3e1428,AVPE,,Image,Polygon,1350.6,936.88,1611,39,10,7,1555,3.476,4.966,2,1,3,695470.2,3840.8
Image_25_01.vsi - 40x_02 #3,d564c084-7515-4f36-9645-f743cac78746,OVLT,,Image,Polygon,1311.6,1260.2,409,0,0,1,408,0.2445,0.7335,1,3,4,95970.7,1183
Image_25_01.vsi - 40x_02 #3,1b8247df-f04d-4f16-8981-a17ff8ab66a1,LPO,,Image,Rectangle,387.74,386.51,1062,12,7,6,1037,2.354,4.143,2,2,4,599460,3097
Image_25_01.vsi - 40x_03 #5,bdcfd1a4-fc65-4740-8033-41e8a11d4170,AVPE,,Image,Geometry,1602.2,1378.6,1611,51,8,11,1541,4.345,6.207,2,1,3,700394.5,5079.7
Image_25_01.vsi - 40x_03 #5,7f56b992-093e-409b-9d03-043747c3ad5a,MnPO,,Image,Polygon,1687.9,582.13,660,4,4,3,649,1.667,3.182,2,2,4,316030.6,2423.1
Image_25_01.vsi - 40x_03 #5,e2730851-7656-4886-8a87-8173ca230730,LPO,,Image,Rectangle,657.6,534.38,1119,13,9,8,1089,2.681,4.915,2,2,4,602298.8,3104.4
Image_26.vsi - 40x_01 #1,ab291fa6-a6f8-430f-a691-c17e24c9cd1a,OVLT,,Image,Polygon,1842.9,1099.6,343,5,0,6,332,3.207,6.706,2,2,4,63078.7,1153
Image_26.vsi - 40x_01 #1,e6bdf93d-eeac-440d-94a7-ff89a9d3b240,AVPE,,Image,Polygon,1518.3,1121,1771,75,23,12,1661,6.211,8.865,2,1,3,703858.4,4015.1
Image_26.vsi - 40x_01 #1,5afea237-7e49-4763-bc9f-111c8c10c9de,MnPO,,Image,Polygon,654.11,1114.8,543,14,5,0,524,3.499,4.42,2,1,3,290678.1,2607.5
Image_26.vsi - 40x_01 #1,d8d70601-0bba-40a5-86ce-e6c5a057101e,LPO,,Image,Rectangle,645.53,2040.3,1138,17,4,5,1112,2.285,3.515,2,1,3,606026.8,3114.5
Image_26.vsi - 40x_02 #3,6fd82a07-a9a7-416b-9582-c272aea8ae6e,OVLT,,Image,Geometry,562.24,1298.1,348,5,2,3,338,2.874,5.172,2,2,4,41127.6,1164.5
Image_26.vsi - 40x_02 #3,ed9eed6e-69e0-48cc-bb2b-9a309a7a1a63,AVPE,,Image,Polygon,835.07,1268.6,1836,77,27,20,1712,6.754,10.4,2,1,3,692455.1,4106.2
Image_26.vsi - 40x_02 #3,839dd739-accf-4cf4-93ce-5bc08c774c12,MnPO,,Image,Polygon,1665.7,1281.4,509,5,0,2,502,1.375,2.161,2,1,3,286308.7,2437.6
Image_26.vsi - 40x_02 #3,d14c9f0f-0c7e-4dea-b938-4b45f0aaed88,LPO,,Image,Rectangle,1568.4,311.92,1012,15,3,4,990,2.174,3.261,2,1,3,607620.2,3195.7
