Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,sp6-thresh: pS6 area µm^2,Num Detections,Num pS6,Area µm^2,Perimeter µm
Image_02.vsi - 40x_06,ec655601-9760-4815-8e75-743b6297d76c,Cg,,Image,Rectangle,978.06,1011.9,25166.3066,209,209,502922.7,2958.8
Image_03.vsi - 40x_01,0bf4c485-1275-44bd-b0b9-f97a0930352d,AVPE,,Image,Geometry,1211.1,1627.1,70383.5781,475,475,705955.3,4656.4
Image_03.vsi - 40x_01,8a8f1491-f36b-4fc7-9202-4441c8c5d502,MnPO,,Image,Polygon,1261.8,843.49,17586.4551,124,124,305194.9,2410.1
Image_03.vsi - 40x_01,10801e8f-0dbb-4a1f-932f-b5ae8f51fd34,MPO,,Image,Geometry,1256.4,980.17,95139.2266,654,654,1787613.7,7562.7
Image_03.vsi - 40x_02,b0f6af64-2eaf-4237-a5ab-1134b3ac74c9,AVPE,,Image,Geometry,1510.5,1574.5,37090.5898,279,279,696170.8,5523.7
Image_03.vsi - 40x_02,a9b53b5b-6e7e-4da5-9249-500e8b083379,MnPO,,Image,Geometry,1593.3,555.28,8750.3584,67,67,310787.7,4791.9
Image_03.vsi - 40x_02,07d2fbd9-82c1-4a65-b2de-40b65ab3fe3d,MPO,,Image,Geometry,1505.4,852.33,48193.418,411,411,1769936.3,7479.6
Image_03.vsi - 40x_02,9a791585-ee36-4965-86cd-7c57d4010588,NDB,,Image,Geometry,1409.4,1792.5,21940.6543,133,133,330192.8,3088.7
Image_03.vsi - 40x_05,5c8d94b2-0451-4b70-91c2-9b13d74acd82,AVPE,,Image,Geometry,1526.7,1551,6293.2666,48,48,306866.3,4781.5
Image_03.vsi - 40x_05,b0d9e780-2335-41d7-b673-a5aa519aa0c8,MnPO,,Image,Geometry,1732.9,493.49,2614.231,17,17,315620.2,3958.1
Image_03.vsi - 40x_05,37a30a46-b21f-459a-bc4c-0d740dac5735,MPO,,Image,Geometry,1672.6,1077.3,26734.1387,209,209,1813757.5,7935.4
Image_03.vsi - 40x_06,f0b209d6-ee0b-4d71-b3a3-1ef957bbdbb2,Cg,,Image,Rectangle,363.41,588.98,38183.25,275,275,510951.2,2890.5
Image_03.vsi - 40x_07,101416af-8147-4be1-a3d4-3a2dc10418ec,Cg,,Image,Rectangle,348.51,937.5,42109.3633,302,302,502156.3,2884.8
Image_03.vsi - 40x_08,3e2792a2-19a9-4efe-9086-af49027a69b7,Cg,,Image,Rectangle,407.12,620.66,35056.9102,264,264,501547.3,2903.6
Image_04.vsi - 40x_01,2ee83ffd-8041-4f8d-831a-3ffdf920ff80,AVPE,,Image,Geometry,509.9,729.23,17451.3125,142,142,639434,3634.7
Image_04.vsi - 40x_01,ae7c6277-3ec4-4dbf-b43a-0a672c1f397e,MPO_x05,,Image,Geometry,1161.1,418.68,21206.2363,147,147,723166,3495.6
Image_04.vsi - 40x_02,c717e2c1-b0e7-4a6f-992d-8c902f55d93b,AVPE,,Image,Polygon,661.62,926.2,28276.3301,180,180,643979.4,4183.7
Image_04.vsi - 40x_02,ee8fa126-01bf-4d04-ab60-4685fc1f06be,MPO_x05,,Image,Polygon,1308.7,466.97,17756.4277,152,152,759187.4,3809.3
Image_04.vsi - 40x_03,3b73eb40-c1dd-4aaf-a1a8-d0adc7251485,AVPE,,Image,Polygon,548.31,853.3,41279.332,293,293,721630.3,4744
Image_04.vsi - 40x_03,cabacf5a-ec6f-4f2d-b2da-8787be955fa1,MPO_x05,,Image,Polygon,1426.1,501.36,21543.252,192,192,835208.1,3594.9
Image_04.vsi - 40x_05,17cca0c4-ab36-4bc4-b271-f1c1132d0e05,Cg,,Image,Rectangle,395.35,547.9,45181.5469,282,282,506928.6,3073
Image_04.vsi - 40x_06,32dbe78a-6f4e-4ad4-928a-d34661787172,Cg,,Image,Rectangle,478.39,782.05,34033.3516,243,243,507455.8,2894.3
Image_04.vsi - 40x_07,284aded0-888f-4585-8477-76bce3b7b514,Cg,,Image,Rectangle,578.12,800.58,29368.6758,219,219,492393.5,2921.5
Image_04.vsi - 40x_08,36a81c86-dc5f-44b0-9ac8-95104206b461,Cg,,Image,Rectangle,456.28,557.1,26958.0566,201,201,489536,3082.6
Image_05.vsi - 40x_01,19e12cd3-4828-4035-a906-71a68cc3f36d,AVPE,,Image,Geometry,1065.7,1399.9,41305.1836,227,227,693889.1,6541.1
Image_05.vsi - 40x_01,81c1613b-71a4-4ba9-8f4a-c74fec2d69e4,MPO,,Image,Geometry,1060.9,707.32,37246.4883,255,255,1723346.7,7565.3
Image_05.vsi - 40x_01,6ae2e159-ab07-47a4-b7aa-754844a02e8d,MnPO,,Image,Geometry,1070.2,491.7,9666.5527,63,63,303934.6,4221.1
Image_05.vsi - 40x_02,1cae1093-69cf-4f4c-8025-7ae69f47baac,MPO,,Image,Geometry,1253.8,1036.6,9029.7559,34,34,1788421.1,7554.1
Image_05.vsi - 40x_02,40851b93-6489-42b6-943b-6fd2f635840e,MnPO,,Image,Polygon,1219.2,573.49,2024.9114,6,6,315833.9,3763.7
Image_05.vsi - 40x_02,7cd8e91e-b2b9-4be9-8100-48cce033f2ba,AVPE,,Image,Polygon,1338.2,1620.6,13971.1094,97,97,692363.7,6093.8
Image_05.vsi - 40x_03,b6674504-892f-44f1-84ef-cee3db836635,MnPO,,Image,Geometry,1157.8,621.67,2129.8208,9,9,336129.3,4197.7
Image_05.vsi - 40x_03,3f78c677-fccf-4700-a513-1573192ebe8f,AVPE,,Image,Geometry,1102.3,1705.9,10700.6738,81,81,691980.1,7136.1
Image_05.vsi - 40x_03,57b81e25-3bf6-4ed0-a7c8-e2deda5e2cce,MPO,,Image,Geometry,1081.3,1128.3,7569.3691,30,30,1761042.2,8492.9
Image_05.vsi - 40x_05,5cb4c055-3486-449d-a9a1-7f1f27b030a7,Cg,,Image,Rectangle,405.04,797.71,25889.3438,212,212,509178.2,2942.3
Image_05.vsi - 40x_06,608c796d-72da-47aa-b86c-b6b94e90b6aa,Cg,,Image,Rectangle,540.09,792.86,13978.6357,100,100,500627,2836.7
Image_05.vsi - 40x_07,3aeab161-cb19-450d-95e5-f5b8a03818f7,Cg,,Image,Rectangle,458.82,651,6667.3281,55,55,500848.6,3127.8
Image_06.vsi - 40x_01,a9b960bb-e2e4-453a-b749-d8c2085b8857,AVPE_x05,,Image,Polygon,696.5,1279.5,8428.3154,62,62,343967.1,3093.4
Image_06.vsi - 40x_01,7a26626b-47e0-4c8a-a0c1-90a4d96f51f5,MPO_x05,,Image,Geometry,1185.3,914.55,25456.4258,197,197,849492.6,3905.5
Image_06.vsi - 40x_03,731b0b45-fb3f-41fa-8b3a-19fc49d28cd4,AVPE_x05,,Image,Geometry,605.21,1349.4,6460.0181,50,50,412094.6,4180.4
Image_06.vsi - 40x_03,46ff2e50-d46c-4762-9e6d-fa53b313fa09,MPO_x05,,Image,Geometry,1305.3,713.67,20268.2051,180,180,876560.5,3693.7
Image_06.vsi - 40x_03,6e712dc1-24b2-44df-a9d7-865f57b7e91b,MnPO_x05,,Image,Polygon,367.76,535.01,2059.2388,17,17,180755.2,1966.5
