"Date and Time","Time (seconds)","60 deg N day90 lock (lx)"
"2021-03-13 06:18:30",69230.0,201.6915
"2021-03-13 06:23:31",69531.0,220.6734
"2021-03-13 06:28:32",69832.0,241.4418
"2021-03-13 06:33:33",70133.0,241.4418
"2021-03-13 06:38:34",70434.0,252.5479
"2021-03-13 06:43:35",70735.0,276.3161
"2021-03-13 06:48:36",71036.0,289.0264
"2021-03-13 06:53:37",71337.0,289.0264
"2021-03-13 06:58:38",71638.0,289.0264
"2021-03-13 07:03:39",71939.0,289.0264
"2021-03-13 07:08:40",72240.0,289.0264
"2021-03-13 07:13:41",72541.0,289.0264
"2021-03-13 07:18:42",72842.0,289.0264
"2021-03-13 07:23:43",73143.0,289.0264
"2021-03-13 07:28:44",73444.0,289.0264
"2021-03-13 07:33:45",73745.0,289.0264
"2021-03-13 07:38:46",74046.0,289.0264
"2021-03-13 07:43:47",74347.0,289.0264
"2021-03-13 07:48:48",74648.0,289.0264
"2021-03-13 07:53:49",74949.0,289.0264
"2021-03-13 07:58:50",75250.0,289.0264
"2021-03-13 08:03:51",75551.0,289.0264
"2021-03-13 08:08:52",75852.0,289.0264
"2021-03-13 08:13:53",76153.0,289.0264
"2021-03-13 08:18:54",76454.0,289.0264
"2021-03-13 08:23:55",76755.0,289.0264
"2021-03-13 08:28:56",77056.0,289.0264
"2021-03-13 08:33:57",77357.0,289.0264
"2021-03-13 08:38:58",77658.0,289.0264
"2021-03-13 08:43:59",77959.0,289.0264
"2021-03-13 08:49:00",78260.0,289.0264
"2021-03-13 08:54:01",78561.0,289.0264
"2021-03-13 08:59:02",78862.0,289.0264
"2021-03-13 09:04:03",79163.0,289.0264
"2021-03-13 09:09:04",79464.0,289.0264
"2021-03-13 09:14:05",79765.0,289.0264
"2021-03-13 09:19:06",80066.0,289.0264
"2021-03-13 09:24:07",80367.0,289.0264
"2021-03-13 09:29:08",80668.0,289.0264
"2021-03-13 09:34:09",80969.0,289.0264
"2021-03-13 09:39:10",81270.0,289.0264
"2021-03-13 09:44:11",81571.0,289.0264
"2021-03-13 09:49:12",81872.0,289.0264
"2021-03-13 09:54:13",82173.0,289.0264
"2021-03-13 09:59:14",82474.0,289.0264
"2021-03-13 10:04:15",82775.0,302.3213
"2021-03-13 10:09:16",83076.0,289.0264
"2021-03-13 10:14:17",83377.0,289.0264
"2021-03-13 10:19:18",83678.0,289.0264
"2021-03-13 10:24:19",83979.0,289.0264
"2021-03-13 10:29:20",84280.0,289.0264
"2021-03-13 10:34:21",84581.0,289.0264
"2021-03-13 10:39:22",84882.0,289.0264
"2021-03-13 10:44:23",85183.0,289.0264
"2021-03-13 10:49:24",85484.0,289.0264
"2021-03-13 10:54:25",85785.0,289.0264
"2021-03-13 10:59:26",86086.0,289.0264
"2021-03-13 11:04:27",86387.0,289.0264
"2021-03-13 11:09:28",86688.0,289.0264
"2021-03-13 11:14:29",86989.0,289.0264
"2021-03-13 11:19:30",87290.0,289.0264
"2021-03-13 11:24:31",87591.0,289.0264
"2021-03-13 11:29:32",87892.0,289.0264
"2021-03-13 11:34:33",88193.0,289.0264
"2021-03-13 11:39:34",88494.0,289.0264
"2021-03-13 11:44:35",88795.0,289.0264
"2021-03-13 11:49:36",89096.0,289.0264
"2021-03-13 11:54:37",89397.0,289.0264
"2021-03-13 11:59:38",89698.0,289.0264
"2021-03-13 12:04:39",89999.0,289.0264
"2021-03-13 12:09:40",90300.0,289.0264
"2021-03-13 12:14:41",90601.0,289.0264
"2021-03-13 12:19:42",90902.0,289.0264
"2021-03-13 12:24:43",91203.0,289.0264
"2021-03-13 12:29:44",91504.0,289.0264
"2021-03-13 12:34:45",91805.0,289.0264
