"Date and Time","Time (seconds)","iSBJORN19/3-19/4 (lx)"
"2021-03-21 22:41:03",473400.0,4.8261
"2021-03-21 23:11:03",475200.0,4.8261
"2021-03-21 23:41:03",477000.0,4.8261
"2021-03-22 00:11:03",478800.0,4.8261
"2021-03-22 00:41:03",480600.0,4.8261
"2021-03-22 01:11:03",482400.0,4.8261
"2021-03-22 01:41:03",484200.0,4.8261
"2021-03-22 02:11:03",486000.0,4.6138
"2021-03-22 02:41:03",487800.0,4.8261
"2021-03-22 03:11:03",489600.0,230.8242
"2021-03-22 03:41:03",491400.0,210.9691
"2021-03-22 04:11:03",493200.0,210.9691
"2021-03-22 04:41:03",495000.0,220.6734
"2021-03-22 05:11:03",496800.0,192.8219
"2021-03-22 05:41:03",498600.0,201.6915
"2021-03-22 06:11:03",500400.0,201.6915
"2021-03-22 06:41:03",502200.0,220.6734
"2021-03-22 07:11:03",504000.0,192.8219
"2021-03-22 07:41:03",505800.0,210.9691
"2021-03-22 08:11:03",507600.0,210.9691
"2021-03-22 08:41:03",509400.0,220.6734
"2021-03-22 09:11:03",511200.0,201.6915
"2021-03-22 09:41:03",513000.0,220.6734
"2021-03-22 10:11:03",514800.0,220.6734
"2021-03-22 10:41:03",516600.0,192.8219
"2021-03-22 11:11:03",518400.0,192.8219
"2021-03-22 11:41:03",520200.0,220.6734
"2021-03-22 12:11:03",522000.0,220.6734
"2021-03-22 12:41:03",523800.0,220.6734
"2021-03-22 13:11:03",525600.0,201.6915
"2021-03-22 13:41:03",527400.0,192.8219
"2021-03-22 14:11:03",529200.0,201.6915
"2021-03-22 14:41:03",531000.0,192.8219
"2021-03-22 15:11:03",532800.0,192.8219
"2021-03-22 15:41:03",534600.0,220.6734
"2021-03-22 16:11:03",536400.0,220.6734
"2021-03-22 16:41:03",538200.0,192.8219
"2021-03-22 17:11:03",540000.0,210.9691
"2021-03-22 17:41:03",541800.0,201.6915
"2021-03-22 18:11:03",543600.0,192.8219
"2021-03-22 18:41:03",545400.0,220.6734
"2021-03-22 19:11:03",547200.0,4.8261
"2021-03-22 19:41:03",549000.0,4.8261
"2021-03-22 20:11:03",550800.0,4.8261
"2021-03-22 20:41:03",552600.0,4.8261
"2021-03-22 21:11:03",554400.0,4.8261
"2021-03-22 21:41:03",556200.0,4.8261
"2021-03-22 22:11:03",558000.0,4.8261
"2021-03-22 22:41:03",559800.0,4.8261
"2021-03-22 23:11:03",561600.0,4.8261
"2021-03-22 23:41:03",563400.0,4.8261
"2021-03-23 00:11:03",565200.0,4.8261
"2021-03-23 00:41:03",567000.0,4.8261
"2021-03-23 01:11:03",568800.0,4.8261
"2021-03-23 01:41:03",570600.0,4.8261
"2021-03-23 02:11:03",572400.0,4.8261
"2021-03-23 02:41:03",574200.0,4.8261
"2021-03-23 03:11:03",576000.0,230.8242
