"datetime","BAT"
2021-07-28 14:54:54,10.9
2021-07-28 14:55:00,10.9
2021-07-28 14:55:11,10.9
2021-07-28 14:55:17,10.9
2021-07-28 14:55:23,10.9
2021-07-28 14:55:35,10.9
2021-07-28 14:55:40,10.9
2021-07-28 14:56:04,10.9
2021-07-28 14:56:16,10.9
2021-07-28 14:56:22,10.9
2021-07-28 14:56:28,10.9
2021-07-28 14:56:34,11
2021-07-28 14:56:39,11
2021-07-28 14:56:51,10.9
2021-07-28 14:56:57,10.9
2021-07-28 14:57:03,10.9
2021-07-28 14:57:20,10.9
2021-07-28 14:57:31,10.9
2021-07-28 14:57:37,10.9
2021-07-28 14:57:42,10.9
2021-07-28 14:58:00,10.9
2021-07-28 14:58:17,10.9
2021-07-28 14:58:23,10.9
2021-07-28 14:58:28,10.9
2021-07-28 14:58:40,10.9
2021-07-28 14:58:52,10.9
2021-07-28 14:58:57,10.9
2021-07-28 14:59:03,10.9
2021-07-28 14:59:09,10.9
2021-07-28 14:59:20,11
2021-07-28 14:59:32,11
2021-07-28 14:59:38,11
2021-07-28 14:59:43,10.9
2021-07-28 14:59:49,10.9
2021-07-28 14:59:55,10.9
2021-07-28 15:00:12,10.9
2021-07-28 15:00:18,10.9
2021-07-28 15:00:30,10.9
2021-07-28 15:00:35,10.9
2021-07-28 15:00:41,10.9
2021-07-28 15:00:47,10.9
2021-07-28 15:00:59,10.9
2021-07-28 15:01:16,10.9
2021-07-28 15:01:22,10.9
2021-07-28 15:01:28,10.9
2021-07-28 15:01:39,10.9
2021-07-28 15:01:51,10.9
2021-07-28 15:02:02,11
2021-07-28 15:02:08,10.9
2021-07-28 15:02:14,10.9
2021-07-28 15:02:32,10.9
2021-07-28 15:02:38,11
2021-07-28 15:02:43,10.9
2021-07-28 15:02:49,10.9
2021-07-28 15:03:00,10.9
2021-07-28 15:03:18,10.9
2021-07-28 15:03:24,10.9
2021-07-28 15:03:29,10.9
2021-07-28 15:03:35,10.9
2021-07-28 15:03:41,10.9
2021-07-28 15:03:47,10.9
2021-07-28 15:03:52,10.9
2021-07-28 15:03:58,10.9
2021-07-28 15:04:15,10.9
2021-07-28 15:04:26,10.9
2021-07-28 15:04:38,10.9
2021-07-28 15:04:44,10.9
2021-07-28 15:04:50,10.9
2021-07-28 15:05:13,10.9
2021-07-28 15:05:19,11
2021-07-28 15:05:24,10.9
2021-07-28 15:05:30,11
2021-07-28 15:05:36,10.9
2021-07-28 15:05:53,10.9
2021-07-28 15:06:04,10.9
2021-07-28 15:06:39,10.9
2021-07-28 15:06:44,11
2021-07-28 15:06:50,11
2021-07-28 15:06:56,11
2021-07-28 15:07:19,10.9
2021-07-28 15:07:30,11
2021-07-28 15:07:36,11
2021-07-28 15:07:53,10.9
2021-07-28 15:07:59,10.9
2021-07-28 15:08:05,10.9
2021-07-28 15:08:11,11
2021-07-28 15:08:33,11
2021-07-28 15:08:39,10.9
2021-07-28 15:08:45,11
2021-07-28 15:08:50,10.9
2021-07-28 15:09:02,10.9
2021-07-28 15:09:14,10.9
2021-07-28 15:09:25,10.9
2021-07-28 15:09:31,11
2021-07-28 15:09:43,10.9
2021-07-28 15:10:00,11
2021-07-28 15:10:06,10.9
2021-07-28 15:10:12,11
2021-07-28 15:10:17,11
2021-07-28 15:10:29,10.9
2021-07-28 15:10:34,10.9
2021-07-28 15:10:40,11
2021-07-28 15:10:46,10.9
2021-07-28 15:10:51,10.9
2021-07-28 15:10:57,10.9
2021-07-28 15:11:09,10.9
2021-07-28 15:11:20,11
2021-07-28 15:11:31,10.9
2021-07-28 15:11:37,10.9
2021-07-28 15:11:54,10.9
2021-07-28 15:12:00,10.9
2021-07-28 15:12:06,11
2021-07-28 15:12:12,10.9
2021-07-28 15:12:17,10.9
2021-07-28 15:12:23,10.9
2021-07-28 15:12:46,11
2021-07-28 15:12:52,11
2021-07-28 15:12:58,10.9
2021-07-28 15:13:15,11
2021-07-28 15:13:32,10.9
2021-07-28 15:13:43,10.9
2021-07-28 15:13:55,10.9
2021-07-28 15:14:01,10.9
2021-07-28 15:14:07,11
2021-07-28 15:14:13,11
2021-07-28 15:14:18,11
2021-07-28 15:14:24,11
2021-07-28 15:14:30,11
2021-07-28 15:14:47,10.9
2021-07-28 15:15:04,11
2021-07-28 15:15:10,11
2021-07-28 15:15:22,10.9
2021-07-28 15:15:28,10.9
2021-07-28 15:15:39,10.9
2021-07-28 15:15:45,11
2021-07-28 15:16:02,10.9
2021-07-28 15:16:08,11
2021-07-28 15:16:14,11
2021-07-28 15:16:19,10.9
2021-07-28 15:16:25,11
2021-07-28 15:16:42,10.9
2021-07-28 15:16:48,11
2021-07-28 15:16:54,11
2021-07-28 15:16:59,10.9
2021-07-28 15:17:22,10.9
2021-07-28 15:17:34,11
2021-07-28 15:17:40,11
2021-07-28 15:17:45,11
2021-07-28 15:17:57,11
2021-07-28 15:18:03,10.9
2021-07-28 15:18:09,10.9
2021-07-28 15:18:15,10.9
2021-07-28 15:18:20,10.9
2021-07-28 15:18:26,11
2021-07-28 15:18:38,11
2021-07-28 15:18:49,10.9
2021-07-28 15:19:06,10.9
2021-07-28 15:19:12,10.9
2021-07-28 15:19:17,11
2021-07-28 15:19:35,11
2021-07-28 15:19:41,11
2021-07-28 15:19:46,10.9
2021-07-28 15:19:52,10.9
2021-07-28 15:19:58,11
2021-07-28 15:20:09,11
2021-07-28 15:20:15,11
2021-07-28 15:20:21,10.9
2021-07-28 15:20:27,11
2021-07-28 15:20:33,11
2021-07-28 15:20:44,11
2021-07-28 15:21:37,10.9
2021-07-28 15:21:42,10.9
2021-07-28 15:21:48,11
2021-07-28 15:22:00,11
2021-07-28 15:22:17,11
2021-07-28 15:22:23,11
2021-07-28 15:22:28,10.9
2021-07-28 15:22:34,11
2021-07-28 15:22:40,10.9
2021-07-28 15:22:51,10.9
2021-07-28 15:23:03,11
