Column1,Period,ID,ap_t,unix
744,SP22,H298,36.14,1619632196
745,SP22,H298,35.01,1619633095
746,SP22,H298,36.06,1619634000
747,SP22,H298,35.74,1619634898
748,SP22,H298,35.68,1619635797
749,SP22,H298,36.86,1619636696
750,SP22,H298,36.89,1619637594
751,SP22,H298,36.64,1619638492
752,SP22,H298,36.77,1619639389
753,SP22,H298,35.06,1619640288
754,SP22,H298,35.06,1619641194
755,SP22,H298,36.32,1619642092
756,SP22,H298,34.38,1619642992
757,SP22,H298,34.95,1619643897
758,SP22,H298,34.36,1619644803
759,SP22,H298,37.4,1619645708
760,SP22,H298,36.86,1619646606
761,SP22,H298,35.88,1619647504
762,SP22,H298,37.4,1619648400
763,SP22,H298,36.12,1619649299
764,SP22,H298,35.99,1619650197
765,SP22,H298,35.6,1619651096
766,SP22,H298,34.65,1619651994
767,SP22,H298,36.83,1619652900
768,SP22,H298,36.75,1619653798
769,SP22,H298,34.88,1619654696
770,SP22,H298,35.66,1619655602
771,SP22,H298,37.1,1619656500
772,SP22,H298,36.46,1619657397
773,SP22,H298,36.46,1619658295
774,SP22,H298,36.45,1619659193
775,SP22,H298,35.93,1619660091
776,SP22,H298,35.75,1619660989
777,SP22,H298,35.27,1619661888
778,SP22,H298,37,1619662793
779,SP22,H298,35.15,1619663691
780,SP22,H298,35.27,1619664597
781,SP22,H298,36.9,1619665495
782,SP22,H298,35.81,1619666392
783,SP22,H298,37.6,1619667291
784,SP22,H298,37.34,1619668188
785,SP22,H298,35.78,1619669086
786,SP22,H298,35.53,1619669985
787,SP22,H298,36.6,1619670883
788,SP22,H298,35.56,1619671781
789,SP22,H298,36.31,1619672679
790,SP22,H298,36.77,1619673577
791,SP22,H298,36.67,1619674474
792,SP22,H298,36.42,1619675372
793,SP22,H298,36.17,1619676271
794,SP22,H298,36.31,1619677169
795,SP22,H298,35.82,1619678068
796,SP22,H298,35.48,1619678967
797,SP22,H298,35.55,1619679864
798,SP22,H298,36.73,1619680762
799,SP22,H298,36.31,1619681660
800,SP22,H298,36.51,1619682558
801,SP22,H298,35.37,1619683457
802,SP22,H298,36.56,1619684354
803,SP22,H298,36.34,1619685252
804,SP22,H298,36.7,1619686150
805,SP22,H298,36.71,1619687049
806,SP22,H298,36.51,1619687947
807,SP22,H298,36.3,1619688845
808,SP22,H298,36.11,1619689744
809,SP22,H298,35.96,1619690642
810,SP22,H298,35.97,1619691541
811,SP22,H298,36.81,1619692439
