Image,Object ID,Name,Class,Parent,ROI,Centroid X µm,Centroid Y µm,Num Detections,Num 1+,Num 2+,Num 3+,Num Negative,Positive %,H-score,Allred proportion,Allred intensity,Allred score,Area µm^2,Perimeter µm
Image_32.vsi - 40x_01 #1,d15b91a4-ecf5-4565-acbe-20f8a7da5d92,AVPE,,Image,Polygon,1626.6,1654.7,1626,27,13,5,1581,2.768,4.182,2,1,3,707741.9,4177
Image_32.vsi - 40x_01 #1,4454d4d0-9f32-494e-bcea-9d3e105faaff,MnPO,,Image,Polygon,1610.4,795.27,498,3,1,1,493,1.004,1.606,2,1,3,293011.4,2555.8
Image_32.vsi - 40x_01 #1,ce300033-8829-4bce-8a00-d7b7f242c614,LPO,,Image,Rectangle,2682.7,756.31,866,3,4,0,859,0.8083,1.27,1,1,2,602392.1,3107.4
Image_32.vsi - 40x_02 #3,ca03ad49-b3be-4164-a22f-263897bca27f,AVPE,,Image,Polygon,1449.2,1365.4,1573,23,27,5,1518,3.497,5.849,2,2,4,702712.3,4753.8
Image_32.vsi - 40x_02 #3,2a17ddcd-d0c6-46ef-8add-67db858e15d0,MnPO,,Image,Polygon,1418.1,555.43,560,9,5,4,542,3.214,5.536,2,2,4,293580,2600.4
Image_32.vsi - 40x_02 #3,0aa90152-d102-40fb-be1f-9c76dc571e67,LPO,,Image,Rectangle,417.19,621.01,867,2,2,2,861,0.692,1.384,1,2,3,602319.3,3106.1
Image_32.vsi - 40x_03 #5,34cfbb14-b7af-452a-9de1-15e6d028bf0a,AVPE,,Image,Polygon,1866,1736.2,1428,38,29,19,1342,6.022,10.71,2,2,4,709478.6,5339.2
Image_32.vsi - 40x_03 #5,74af7bbb-8301-4337-bdad-26bf35e8cbf0,MnPO,,Image,Polygon,1839.1,873.17,734,12,6,3,713,2.861,4.496,2,1,3,319546.7,2419
Image_32.vsi - 40x_03 #5,ac999a3a-3542-43d5-bc4d-6ddeaddf254f,LPO,,Image,Rectangle,775.3,753.3,1100,10,4,0,1086,1.273,1.636,2,1,3,699091.3,3361.9
Image_34.vsi - 40x_01 #1,320edd4d-ae9c-40da-99c3-2c5cefcf134c,OVLT,,Image,Polygon,1860.7,2405.7,473,4,0,3,466,1.48,2.748,2,2,4,119073.2,1542.9
Image_34.vsi - 40x_01 #1,4f54efd2-869f-45e7-9604-29c4083409fe,AVPE,,Image,Polygon,1782.5,1972.7,1718,101,21,48,1548,9.895,16.71,2,2,4,700846.3,4038.4
Image_34.vsi - 40x_01 #1,0b1ce47b-74ed-4650-833f-94bed35b0753,MnPO,,Image,Polygon,1596.2,963.99,674,15,1,3,655,2.819,3.858,2,1,3,326740.4,2708.4
Image_34.vsi - 40x_01 #1,ce98259d-6022-4165-9516-8206af8bf8b2,LPO,,Image,Rectangle,644.54,1245.2,971,16,4,8,943,2.884,4.943,2,2,4,595586.1,3088.8
Image_34.vsi - 40x_02 #3,b8e1830d-5ad0-4842-90b9-61d921e4bfb3,OVLT,,Image,Polygon,2342.1,2857.2,428,0,1,0,427,0.2336,0.4673,1,2,3,84340.4,1511.1
Image_34.vsi - 40x_02 #3,ddb1ffe7-263a-40d3-bc01-97e828b7b6d7,LPO,,Image,Rectangle,1371.1,1503.5,1158,2,12,6,1138,1.727,3.8,2,2,4,602591.1,3108.4
Image_34.vsi - 40x_02 #3,80113ba3-be7b-4c5f-b0e5-418d4df7c5f5,AVPE,,Image,Polygon,2342.1,2665.5,1658,247,28,25,1358,18.09,22.8,3,1,4,669019.7,5737.6
Image_34.vsi - 40x_02 #3,c8d6afa1-5821-4c9c-9293-c98cc70f7e81,MnPO,,Image,Polygon,2206.5,1741.4,773,1,13,5,754,2.458,5.433,2,2,4,328001.4,2602
Image_34.vsi - 40x_03 #5,a9857723-0cf3-4fdc-9774-8f066e566dfd,AVPE,,Image,Polygon,2079.7,2714,1695,144,15,29,1507,11.09,15.4,3,1,4,699699.6,4747.6
Image_34.vsi - 40x_03 #5,4569fa7a-c923-4a7f-a34f-73dd6450ed01,MnPO,,Image,Polygon,1954.7,1749,790,69,16,13,692,12.41,17.72,3,1,4,299399.7,2996
Image_34.vsi - 40x_03 #5,b395a6b4-e429-43b4-b366-13b43616008c,LPO,,Image,Rectangle,1094.5,2009.2,1209,29,12,1,1167,3.474,4.632,2,1,3,600188.3,3119.1
Image_35.vsi - 40x_01 #1,525d520d-35c5-48a7-b5e6-ded192cc04fb,OVLT,,Image,Polygon,1719.3,1454.7,427,1,5,0,421,1.405,2.576,2,2,4,112204,1374.9
Image_35.vsi - 40x_01 #1,660b208f-4184-4d88-84db-e23516ab728e,AVPE,,Image,Polygon,1573.6,1532.2,1387,6,37,9,1335,3.749,7.714,2,2,4,700395.5,4709.9
Image_35.vsi - 40x_01 #1,4cc08a95-93d5-4e67-9436-1b262bd7b2d2,MnPO,,Image,Polygon,781.16,1395.2,670,3,7,1,659,1.642,2.985,2,2,4,306664.2,2225.6
Image_35.vsi - 40x_01 #1,98a9ffba-8a11-42f8-88cb-b613a258f963,LPO,,Image,Rectangle,741.1,2177.4,949,0,2,0,947,0.2107,0.4215,1,2,3,599070.4,3097.2
Image_35.vsi - 40x_02 #3,73b8e927-0608-4069-9c6d-305ef7c71a80,OVLT,,Image,Geometry,458.47,843.3,282,1,0,0,281,0.3546,0.3546,1,1,2,53591.9,2516
Image_35.vsi - 40x_02 #3,7aaf2e5b-14c6-46a8-99f6-4996ad2f7534,AVPE,,Image,Polygon,555.97,818.35,1846,145,53,2,1646,10.83,13.92,3,1,4,706843.5,4446.2
Image_35.vsi - 40x_02 #3,68b19116-1704-4013-85be-c0e6df79ed55,MnPO,,Image,Polygon,1346.5,911.5,765,112,32,4,617,19.35,24.58,3,1,4,294667.5,2291.1
Image_35.vsi - 40x_02 #3,ac3c320e-b49d-4a36-ad98-acae543a639b,LPO,,Image,Rectangle,1101.2,1652.1,973,72,9,4,888,8.736,10.48,2,1,3,469206.3,2740.1
Image_35.vsi - 40x_03 #5,a49031fa-3c2d-4066-8b93-9297b622a870,MnPO,,Image,Polygon,680.68,1263.6,701,4,9,1,687,1.997,3.566,2,2,4,297764.5,2048.7
Image_35.vsi - 40x_03 #5,b6dc6a89-780c-42d9-b7bc-dbdb568e59b9,AVPE,,Image,Geometry,1459.2,1359.1,1671,15,70,6,1580,5.446,10.35,2,2,4,707251.8,4820.9
Image_35.vsi - 40x_03 #5,65028248-f9de-427b-a0f8-1b00c315bb23,LPO,,Image,Rectangle,754.75,2155.9,1176,6,28,3,1139,3.146,6.037,2,2,4,604650.6,3111.2
Image_36.vsi - 40x_01 #1,efecdd02-403f-4254-b4f6-dd3ff7183491,OVLT,,Image,Polygon,594.02,2066.4,111,0,0,,111,0,0,0,0,0,24471.3,590.69
Image_36.vsi - 40x_01 #1,87a4e204-5821-41b6-99b6-f8c2f5fcdcb0,AVPE_x05,,Image,Polygon,742.14,1624.2,795,2,2,,791,0.5031,0.7547,1,1,2,346047.7,2491.6
Image_36.vsi - 40x_02 #3,1aefec60-225d-4996-962d-ff98fdcb4f54,OVLT,,Image,Polygon,727.47,1819.9,233,0,0,0,233,0,0,0,0,0,70038.8,983.54
