"","Name","ID","group","num_det_mean","num_neg_mean","num_pos_mean","fraq_pos_mean","area_mean","pos_th_mean","neg_th_mean"
"58","AVPE","H074","T40",2106.8,2090.2,16.6,0.88944,706883.64,5340.23818,701543.4625
"59","AVPE","H211","IBE2",2221.33333333333,2210.66666666667,10.6666666666667,0.478233333333333,692737.133333333,2232.73143333333,690490.166666667
"60","AVPE","H216","A1",2718.66666666667,2715.33333333333,2.66666666666667,0.190733333333333,692901,3931.7874,688987.791666667
"61","AVPE","H222","A1",1873.75,1870.5,3.25,0.199175,707067,1647.471325,705411.921875
"62","AVPE","H224","IBE1",1962,1954.75,7.25,0.734575,642852.6,4977.795125,637857.101575
"63","AVPE","H230","ENT",2185.5,2169,16.5,0.77325,662078.85,2077.05355,659985.0625
"64","AVPE","H236","A2",2010.44444444444,1998.44444444444,11.7777777777778,1.08902222222222,688839.111111111,2420.52675555556,686421.104177778
"65","AVPE","H241","ENT",2299.75,2294.5,5.25,0.2321,699477.7,1528.420875,697951.125
"66","AVPE","H243","ENT",2037.33333333333,2033.66666666667,3.66666666666667,0.160433333333333,695482.533333333,2317.2106,693162.8125
"67","AVPE","H245","IBE1",1096,1084,12,2.1991,686723.4,2698.2016,684030.395866667
"68","AVPE","H250","A2",2193,2172.33333333333,20.6666666666667,0.962166666666667,704004.366666667,2268.12776666667,701743.395833333
"69","AVPE","H254","ENT",3246.66666666667,3244.66666666667,2,0.144066666666667,715225.4,1026.924,714172.791666667
"70","AVPE","H263","A1",1663,1658.66666666667,4.33333333333333,0.2706,698041.266666667,2100.57696666667,695921.020833333
"71","AVPE","H264","IBE1",2760,2754,6,0.4348,738251,3474.331,734759.8124
"72","AVPE","H268","IBE1",1992.33333333333,1989.66666666667,2.66666666666667,0.1312,716023.133333333,3148.14936666667,712873.604166667
"73","AVPE","H273","A2",1560,1550,10,0.746666666666667,703726.733333333,866.867533333333,702858.895833333
"74","AVPE","H275","IBE2",2358,2350.5,7.5,0.35605,692669,2919.64905,689747.71875
"75","AVPE","H276","A1",2224.5,2214.5,10,0.456,688254.6,3189.70555,685059.28125
"76","AVPE","H278","IBE1",2041.5,2037.5,4,0.1933,693116.35,3700.63315,689386.3125
"77","AVPE","H298","A1",2070.5,2062.5,8,0.4629,701742.6,1621.931025,700113.75
"78","AVPE","H300","A2",2235.75,2228,7.75,0.433475,696433.475,2041.6819,694384.40625
"79","AVPE","H301","IBE2",2570.33333333333,2562.66666666667,7.66666666666667,0.315733333333333,708578.433333333,2737.02303333333,705826.333333333
"80","AVPE","H307","ENT",2807.33333333333,2794.66666666667,12.6666666666667,0.4519,690027.566666667,3069.56073333333,686955.395833333
"81","AVPE","H319","ENT",2394.75,2382.25,12.5,0.759275,701710.25,2758.155225,698950.67185
"82","AVPE","Unknown","IBE2",2101,2100,1,0.0476,732007.75,1916.8028,730049.62505
"83","BTAN","H028","T40",236.5,234.625,1.875,0.7206375,20891.025,778.0087,20112.2633
